model,seed,family,direction,relaxation_rate,equilibrium_gain,normalized_trajectory_l2_error
maxwell,26092405,calibration_mode_b,plus,0.1,0.0,2.8836447716827943e-05
maxwell,26092405,calibration_mode_b,plus,0.1,0.01,3.019507064456417e-05
maxwell,26092405,calibration_mode_b,plus,0.1,0.05,3.611750908002064e-05
maxwell,26092405,calibration_mode_b,plus,0.2,0.0,2.8836447716827943e-05
maxwell,26092405,calibration_mode_b,plus,0.2,0.01,3.125520904966063e-05
maxwell,26092405,calibration_mode_b,plus,0.2,0.05,4.2212388734599735e-05
maxwell,26092405,calibration_mode_b,plus,0.4,0.0,2.8836447716827943e-05
maxwell,26092405,calibration_mode_b,plus,0.4,0.01,3.269955721044471e-05
maxwell,26092405,calibration_mode_b,plus,0.4,0.05,5.078001764323894e-05
maxwell,26092405,calibration_mode_b,minus,0.05,0.0,1.5645190468705983e-05
maxwell,26092405,calibration_mode_b,minus,0.05,0.01,1.5967654438422902e-05
maxwell,26092405,calibration_mode_b,minus,0.05,0.05,1.7602874979310443e-05
maxwell,26092405,calibration_mode_b,minus,0.1,0.0,1.5645190468705983e-05
maxwell,26092405,calibration_mode_b,minus,0.1,0.01,1.6277116141246675e-05
maxwell,26092405,calibration_mode_b,minus,0.1,0.05,1.9901554615849765e-05
maxwell,26092405,calibration_mode_b,minus,0.2,0.0,1.5645190468705983e-05
maxwell,26092405,calibration_mode_b,minus,0.2,0.01,1.683700523132838e-05
maxwell,26092405,calibration_mode_b,minus,0.2,0.05,2.4496908257019752e-05
maxwell,26092405,calibration_mode_b,minus,0.4,0.0,1.5645190468705983e-05
maxwell,26092405,calibration_mode_b,minus,0.4,0.01,1.7693040114881453e-05
maxwell,26092405,calibration_mode_b,minus,0.4,0.05,3.174850511636477e-05
maxwell,26092406,calibration_mode_a,plus,0.05,0.0,2.215690097067784e-05
maxwell,26092406,calibration_mode_a,plus,0.05,0.01,2.2712853398174402e-05
maxwell,26092406,calibration_mode_a,plus,0.05,0.05,2.5161804399343672e-05
maxwell,26092406,calibration_mode_a,plus,0.1,0.0,2.215690097067784e-05
maxwell,26092406,calibration_mode_a,plus,0.1,0.01,2.3215141310904452e-05
maxwell,26092406,calibration_mode_a,plus,0.1,0.05,2.815542220847606e-05
maxwell,26092406,calibration_mode_a,plus,0.2,0.0,2.215690097067784e-05
maxwell,26092406,calibration_mode_a,plus,0.2,0.01,2.406778311307034e-05
maxwell,26092406,calibration_mode_a,plus,0.2,0.05,3.356199309469459e-05
maxwell,26092406,calibration_mode_a,plus,0.4,0.0,2.215690097067784e-05
maxwell,26092406,calibration_mode_a,plus,0.4,0.01,2.5268059657453673e-05
maxwell,26092406,calibration_mode_a,plus,0.4,0.05,4.1470564393178204e-05
maxwell,26092406,calibration_mode_a,minus,0.05,0.0,2.2529178511350332e-05
maxwell,26092406,calibration_mode_a,minus,0.05,0.01,2.3086992670947072e-05
maxwell,26092406,calibration_mode_a,minus,0.05,0.05,2.5540527454339024e-05
maxwell,26092406,calibration_mode_a,minus,0.1,0.0,2.2529178511350332e-05
maxwell,26092406,calibration_mode_a,minus,0.1,0.01,2.35905840736969e-05
maxwell,26092406,calibration_mode_a,minus,0.1,0.05,2.8535379575899975e-05
maxwell,26092406,calibration_mode_a,minus,0.2,0.0,2.2529178511350332e-05
maxwell,26092406,calibration_mode_a,minus,0.2,0.01,2.4444699412483226e-05
maxwell,26092406,calibration_mode_a,minus,0.2,0.05,3.3939646120162407e-05
maxwell,26092406,calibration_mode_a,minus,0.4,0.0,2.2529178511350332e-05
maxwell,26092406,calibration_mode_a,minus,0.4,0.01,2.5645442174444906e-05
maxwell,26092406,calibration_mode_a,minus,0.4,0.05,4.1840832272683055e-05
maxwell,26092406,calibration_mode_b,plus,0.05,0.0,2.883644771681479e-05
maxwell,26092406,calibration_mode_b,plus,0.05,0.01,2.955664799535474e-05
maxwell,26092406,calibration_mode_b,plus,0.05,0.05,3.259273878623444e-05
maxwell,26092406,calibration_mode_b,plus,0.1,0.0,2.883644771681479e-05
maxwell,26092406,calibration_mode_b,plus,0.1,0.01,3.019507064454213e-05
maxwell,26092406,calibration_mode_b,plus,0.1,0.05,3.6117509079984887e-05
maxwell,26092406,calibration_mode_b,plus,0.2,0.0,2.883644771681479e-05
maxwell,26092406,calibration_mode_b,plus,0.2,0.01,3.125520904963999e-05
maxwell,26092406,calibration_mode_b,plus,0.2,0.05,4.2212388734591034e-05
maxwell,26092406,calibration_mode_b,plus,0.4,0.0,2.883644771681479e-05
maxwell,26092406,calibration_mode_b,plus,0.4,0.01,3.2699557210417834e-05
maxwell,26092406,calibration_mode_b,plus,0.4,0.05,5.078001764321491e-05
maxwell,26092406,calibration_mode_b,minus,0.05,0.0,1.564519046872476e-05
maxwell,26092406,calibration_mode_b,minus,0.05,0.01,1.596765443842826e-05
maxwell,26092406,calibration_mode_b,minus,0.05,0.05,1.760287497932247e-05
maxwell,26092406,calibration_mode_b,minus,0.1,0.0,1.564519046872476e-05
